Paper Title;Year;Author;Citation;Publication;Url of paper;Summary;Field of Study;Location of Keyword;Type of Article;Removed;Notes
Global Education Iducation and International Education Advocacy.;2024;SR Choriyevna;0;universalpublishings.com;https://universalpublishings.com/~niverta1/index.php/itfttdm/article/view/3979;;Humanities;Discussion;Research;N;
[BOOK][B] The Indian Girl's Lament;2024;WC Bryant;1;books.google.com;https://books.google.com/books?hl=en&lr=&id=vvr3EAAAQBAJ&oi=fnd&pg=PA1&dq=%22As+of+my+last+knowledge+update%22+-%22ChatGPT%22&ots=ShifcCE9aD&sig=QK4EaiWZ1-LX1K5A8ewuIif9m8c;;NA;NA;Book;NA;
[PDF][PDF] Chapter-10 Youth at Risk: Understanding Vulnerabilities and Promoting Resilience;2023;P Beniwal;0;researchgate.net;https://www.researchgate.net/profile/Peter-Amponsah/publication/378481429_Fundamentals_of_Media_Studies/links/65dc53d0adf2362b6357e834/Fundamentals-of-Media-Studies.pdf#page=147;;Social Sciences;Abstract;Research;N;
[PDF][PDF] WAYS TO IMPROVE FINANCIAL INCENTIVES FOR EMPLOYEES OF PRIVATE SECTOR ENTERPRISES IN UZBEKISTAN.;2023;B Umida;0;interonconf.org;https://interonconf.org/index.php/usa/article/download/10015/8464;;Humanities;Discussion;Research;N;
[PDF][PDF] Advancements in Spinal Injuries and Deformities: Innovations Shaping the Future;2023;D Sharma;0;researchgate.net;https://www.researchgate.net/profile/Neha-Vyas-8/publication/376489261_Volume_2/links/657ad1edcbd2c535ea275feb/Volume-2.pdf#page=109;;NA;NA;Research;NA;
PI NETWORK: A REVOLUTION;2023;R Issalh;20;sjmbt.com;https://sjmbt.com/index.php/j/article/view/3;;Applied Sciences;Introduction;Research;N;
[PDF][PDF] Unveiling the Power of Machine Learning: Transforming Industries and Shaping the Future;2023;E Roberts;0;easychair.org;https://easychair.org/publications/preprint_download/m3T6;;Applied Sciences;Discussion;Research;N;
Explainable AI: Assessing Methods to Make AI Systems More Transparent and Interpretable;2023;B Vyas;22;ijnms.com;https://www.ijnms.com/index.php/ijnms/article/view/220;;Applied Sciences;Literature Review;Research;N;
Corporate patenting AI and ML in healthcare: regulatory and ethical considerations;2023;S Sharma;20;ijnms.com;https://ijnms.com/index.php/ijnms/article/view/193;;Social Sciences;Introduction;Research;N;
[HTML][HTML] Quantum Entanglement: Examining its Nature and Implications;2023;B Zohuri;1;onlinescientificresearch.com;https://www.onlinescientificresearch.com/articles/quantum-entanglement-examining-its-nature-and-implications.html;;Natural Sciences;Discussion;Research;N;keyword appeared two times
[PDF][PDF] Krishi Vigyan Kendras (KVKs) in India: Empowering Farmers for a Sustainable Future;2023;P Singh;1;researchgate.net;https://www.researchgate.net/profile/Prashish-Singh/publication/373632787_Krishi_Vigyan_Kendras_KVKs_in_India_Empowering_Farmers_for_a_Sustainable_Future/links/64f44d6efa851147de0f8a92/Krishi-Vigyan-Kendras-KVKs-in-India-Empowering-Farmers-for-a-Sustainable-Future.pdf;;Humanities;Result;Research;N;
[PDF][PDF] Roving survey for defoliator pest complex of sunflower in North Karnataka;2023;RV Pandit;0;thepharmajournal.com;https://www.thepharmajournal.com/archives/2023/vol12issue11S/PartJ/S-12-10-362-543.pdf;;Natural Sciences;Introduction;Research;N;keyword appeared two times
[PDF][PDF] Practicum Report: Airline Pilot Fatigue;2023;J Durairaj;0;researchgate.net;https://www.researchgate.net/profile/Jaikumar-Durairaj/publication/375084205_Airline_Transport_Pilot_Fatigue/links/653fdf580426ef6369eb8ec1/Airline-Transport-Pilot-Fatigue.pdf;;Social Sciences;Discussion;Research;N;
Blockchain technology in education: The perspective, challenges, and concerns;2023;B Galhotra;0;oarjpublication.com;https://oarjpublication.com/journals/oarjet/content/blockchain-technology-education-perspective-challenges-and-concerns;;Applied Sciences;Introduction;Research;N;
[HTML][HTML] Regulation of online gambling in Russia: Issue of loot boxes and microtransactions;2023;T Bhushan;0;cyberleninka.ru;https://cyberleninka.ru/article/n/regulation-of-online-gambling-in-russia-issue-of-loot-boxes-and-microtransactions;;Humanities;Result;Research;N;
Access to Essential Medicines and Antimicrobial Agents in Rural Areas of Pakistan Specifically in Sindh;2023;M Jamali;1;jptcp.com;https://www.jptcp.com/index.php/jptcp/article/view/2887;;Social Sciences;NA;Research;Y;
A Comprehensive Study of AI-Powered Writing Assistance Tools and Content Spinning Applications;2023;C Tamilselvi;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10395164/;;Applied Sciences;Result;Research;N;used ChatGPT to write about AI-powered writing assistance tools
Scalability and Distributed Computing in NET for Large-Scale AI Workloads;2021;RM Rajendran;40;eduzonejournal.com;https://www.eduzonejournal.com/index.php/eiprmj/article/view/513;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Role of NDLI Club in College Library;2024;MMP Waghmare;0;vbmv.org;https://vbmv.org/pdf/5.pdf#page=276;;Social Sciences;Introduction;Research;N;
[PDF][PDF] Digital Transformation in Supply Chain Management: A Global Survey;2022;RW Johnson;0;ijope.com;https://ijope.com/index.php/home/article/download/69/68;;Social Sciences;Literature Review;Research;N;
[HTML][HTML] PREVENTION OF ENDOCRINE DISEASES AMONG THE POPULATION;2023;R Nilufar;0;cyberleninka.ru;https://cyberleninka.ru/article/n/prevention-of-endocrine-diseases-among-the-population;;Natural Sciences;Introduction;Research;N;
A Comprehensive Framework for Evaluating Software Engineering Technologies;2023;SM Hridoy;4;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4650826;;Social Sciences;Introduction;Research;N;
[PDF][PDF] Potential traditional medicinal plants for COVID-19 management in Sri Lanka: A review;2023;DD Hemalika;1;researchgate.net;https://www.researchgate.net/profile/Dayangi_Hemalika/publication/375018718_Potential_traditional_medicinal_plants_for_COVID-19_management_in_Sri_Lanka_A_review/links/656139e7b1398a779dad67a4/Potential-traditional-medicinal-plants-for-COVID-19-management-in-Sri-Lanka-A-review.pdf;;Natural Sciences;Introduction;Research;N;
The Relationship Between Type and Position of Fungal Infection with Age and Gender;2024;MH Fanosh;0;ojs.literacyinstitute.org;https://ojs.literacyinstitute.org/index.php/ijias/article/view/1251;;Natural Sciences;Introduction;Research;N;
[PDF][PDF] Autism Spectrum Disorder: Advances in Understanding and Intervention Strategies;2024;A Bhattacharjee;0;ijsi.in;https://ijsi.in/wp-content/uploads/2024/02/18.02.016.20240901.pdf;;Natural Sciences;Result;Research;N;keyword appeared two times
Financial Inclusion In Economic & Financial Growth In India With Special Reference Pradhan Mantri Jan Dhan Yojana (Pmjdy);2024;S Zameer;0;migrationletters.com;https://migrationletters.com/index.php/ml/article/view/6845;;Humanities;Introduction;Research;N;keyword appeared two times
[PDF][PDF] 27 SHAPING THE FUTURE: TRENDS AND CONSIDERATIONS IN THE EVOLUTION OF SPECIAL EDUCATION IN INDIA;2024;MS Nayyar;0;researchgate.net;https://www.researchgate.net/profile/Gulsan-Behera/publication/380103644_PARENTAL_INVOLVEMENT_AND_EMPOWERMENT_IN_SPECIAL_EDUCATION/links/662b349135243041534ba1cc/PARENTAL-INVOLVEMENT-AND-EMPOWERMENT-IN-SPECIAL-EDUCATION.pdf#page=329;;Humanities;Result;Book;N;
THE EFFECT OF THINK TALK WRITER (TTW) LEARNING ON THE LEARNING OUTCOMES OF ITB TRENGGALEK STUDENTS IN ECONOMIC MATHEMATICS …;2022;NS Istian;0;pemudin.com;http://pemudin.com/index.php/JEEBM/article/view/47;;Social Sciences;Literature Review;Research;N;
Marital Rape;2024;P Kumar;0;indianjournals.com;https://www.indianjournals.com/ijor.aspx?target=ijor:vidhigya&volume=17&issue=1and2&article=012;;Social Sciences;NA;Research;NA;
[CITATION][C] Adaptation of climate change: Sustainable tourism development;2024;G Cemara;0;https://journal-iasssf.com/;https://journal-iasssf.com/index.php/ECOTOUR/article/view/670;;Natural Sciences; NA;Research;NA;
[PDF][PDF] The Impact of Graph Colouring and Map Colouring Approach in Preventing Cheating at Higher Learning Institution: A Case of Institute of Accountancy Arusha;2024;JS Francis;0;thelawbrigade.com;https://thelawbrigade.com/wp-content/uploads/2024/02/John-Saqware-Francis-AJMRR.pdf;;Social Sciences;Result;Research;N;used ChatGPT to propose a way to prevent cheating at higher learning institution
Meta-Learning Strategies for Efficient Knowledge Transfer in Multitask Machine Learning Environments;2023;T Kaushik;0;edupublications.com;https://edupublications.com/index.php/ejiar/article/view/40;;Applied Sciences;NA;Research;Y;
[PDF][PDF] Wireless Price Tags: the Power of Electronic Shelf Labels;2024;S Milson;0;easychair.org;https://easychair.org/publications/preprint_download/gQR6h;;Applied Sciences;Literature Review;Research;N;
[PDF][PDF] Financial Integration of North Macedonia and Adjustments of Financial Reports to the Value of European Union;2023;A Maksuti;0;researchgate.net;https://www.researchgate.net/profile/Ali-Maksuti/publication/376587468_Financial_Integration_of_North_Macedonia_and_Adjustments_of_Financial_Reports_to_the_Value_of_European_Union/links/657ed0a79d7bc03b30826de1/Financial-Integration-of-North-Macedonia-and-Adjustments-of-Financial-Reports-to-the-Value-of-European-Union.pdf;;Social Sciences;Methodology;Research;N;
A REVIEW ON ANALYSIS OF MARKET ENTRY STRATEGIES FOR INDIAN EXPORT ORIENTED UNITS (EOUS) INTO GLOBAL MARKETS IN EMERGING BRICS …;2023;MS Sharma;0;journalra.org;http://journalra.org/index.php/jra/article/view/269;;Social Sciences;Result;Research;N;
[PDF][PDF] SmartPrice Tags: Revolutionizing Retail with Electronic Shelf Labels;2024;L Kasowaki;0;easychair.org;https://easychair.org/publications/preprint_download/Q1nB;;Applied Sciences;Literature Review;Research;N;Suspiciously similar to row 34
Growing Trend of International Marketing Place for Matic Based Smart Contracts;2023;G Shrivastava;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10441736/;;Social Sciences;Introduction;Research;N;The keyword is literally in the first sentence. What is peer-review? Appeared twice.
A Deep Learning Framework for the Classification of Brazilian Coins;2023;D Swain;2;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10268931/;;Applied Sciences;Literature Review;Research;N;
[PDF][PDF] Sunrise of Innovation: The Evolution of Solar Cells;;SB Sangale;0;researchgate.net;https://www.researchgate.net/profile/Antara-Saha-4/publication/379809350_Dr_Bhau_Mandavkar_Research_Centre/links/661b7fac43f8df018dfe3f37/Dr-Bhau-Mandavkar-Research-Centre.pdf#page=64;;;Introduction;Book;N;
[PDF][PDF] Financial Integration of North Macedonia and Adjustments of Financial Reports to the Value of European Union;2023;A Maksuti;0;researchgate.net;https://www.researchgate.net/profile/Ali-Maksuti/publication/376587468_Financial_Integration_of_North_Macedonia_and_Adjustments_of_Financial_Reports_to_the_Value_of_European_Union/links/657ed0a79d7bc03b30826de1/Financial-Integration-of-North-Macedonia-and-Adjustments-of-Financial-Reports-to-the-Value-of-European-Union.pdf;;Social Sciences;Methodology;Research;N;
[PDF][PDF] Global Health Trends: Challenges and Opportunities for Healthcare Management;2020;K Kelly;0;ijope.com;https://ijope.com/index.php/home/article/download/66/65;;Social Sciences;Literature Review;Research;N;
REVOLUTIONIZING LANGUAGE EDUCATION: THE IMPACT OF DIGITAL TECHNOLOGY ON TEACHING FOREIGN LANGUAGES;2023;K Dilora;0;uz-conference.com;https://uz-conference.com/index.php/p/article/view/180;;Applied Sciences;Methodology;Research;N;
Framing Analysis of Reporting on Electric Transportation Subsidies in Indonesia during 2023 by Tirto ID;2023;H Harliantara;0;jiss.publikasiindonesia.id;https://jiss.publikasiindonesia.id/index.php/jiss/article/view/891;;Social Sciences;NA;Research;Y;
DEVELOPMENT OF LIVING LABS WITHIN MEDIA INSTITUTIONS IN INDIA AND BENEFITS–AN ANALYTICAL REVIEW;2023;MD Rawat;0;mhnursing.or.kr;http://mhnursing.or.kr/index.php/JKPMHN/article/view/174;;Social Sciences;Conclusion;Research;N;
[PDF][PDF] Unraveling the Unprecedented Economic Implications of the COVID-19 Pandemic: Navigating Towards a Resilient and Sustainable Future;2023;S Gupta;0;ijisrt.com;https://ijisrt.com/assets/upload/files/IJISRT23DEC910.pdf;;Social Sciences;Literature Review;Research;N;
A Telehealth System Driven by Artificial Intelligence for Effective Patient Consultation and Diagnosis in Hospitals;2023;J Jayapradha;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10395119/;;Applied Sciences;Literature Review;Research;N;
Framing Analysis of Reporting on Electric Transportation Subsidies in Indonesia during 2023 by Tirto ID.;;D Susilo;0;search.ebscohost.com;https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=27236692&AN=173575006&h=0UlxqNhcIJ3%2BODifr5if9Eb%2FgcLCEr7EmoZn5ywlbMpU183SWkae27HC6xlN%2FMgMz%2B58qXlnhSl1Oki0y6EYDg%3D%3D&crl=c;;NA;NA;NA;NA;
Understanding Cybersecurity Education for Teachers in Terms of Length of Service in Cirebon City;2023;OR Riyanto;0;e-journal.syekhnurjati.ac.id;http://e-journal.syekhnurjati.ac.id/index.php/ijce/article/view/31;;NA;NA;NA;NA;
[PDF][PDF] Advancing Biomedical Research: A Comprehensive Study of Global Impacts and Collaborations;2021;PT Williams;0;ijope.com;https://ijope.com/index.php/home/article/download/92/91;;Natural Sciences;Methodology;Research;N;
DEVELOPMENT OF LIVING LABS WITHIN MEDIA INSTITUTIONS IN INDIA AND BENEFITS–AN ANALYTICAL REVIEW;2023;MD Rawat;0;mhnursing.or.kr;http://mhnursing.or.kr/index.php/JKPMHN/article/view/174;;Applied Sciences;Conclusion;Research;N;
[PDF][PDF] The Advancement, Repercussions, and Ethical Concerns of Robotics Development;2023;S Ness;0;researchgate.net;https://www.researchgate.net/profile/Charles-Daniel-8/publication/377208934_The_Advancement_Repercussions_and_Ethical_Concerns_of_Robotics_Development/links/659a1b8f2468df72d3ff8460/The-Advancement-Repercussions-and-Ethical-Concerns-of-Robotics-Development.pdf;;Applied Sciences;Discussion;Research;N;
A Telehealth System Driven by Artificial Intelligence for Effective Patient Consultation and Diagnosis in Hospitals;2024;J Jayapradha;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10395119/;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Imagining the Unseen: Text-driven realism in artificial image generation;2024;C Mohith;0;datacomjournal.com;https://www.datacomjournal.com/article/36/5-1-1-671.pdf;;Natural Sciences;Research;Research;N;
Machine Learning Technique to Predict the Right Buying and Selling for EUR_USD;2023;MEL Mahjouby;0;ijisae.org;https://ijisae.org/index.php/IJISAE/article/view/4856;;Applied Sciences;Introduction;Research;N;
STRENGTHENING CYBERCRIME CONTROLAND INVESTIGATION PROTOCOLS FORSAFE GUARDING INDIAN CITIZENS.;;DG KIRITBHAI;0;journal.ijpub.org;https://journal.ijpub.org/index.php/ijrar/article/view/17;;Applied Sciences;Methodology;Research;N;
[PDF][PDF] The Role of International Policies in Addressing Global Environmental Challenges;2016;L Gang;0;ijope.com;https://ijope.com/index.php/home/article/download/28/27;;Social Sciences;Methodology;Research;N;
ASSET LIABILITY MANAGEMENT PRACTICES AND NPA TRENDS IN INDIAN PUBLIC AND PRIVATE SECTOR BANKS;2023;DR Shah;0;iejse.com;https://iejse.com/journals/index.php/iejse/article/view/49;;Applied Sciences;Methodology;Research;N;
Meta-Learning Strategies for Efficient Knowledge Transfer in Multitask Machine Learning Environments;2023;T Kaushik;0;edupublications.com;https://edupublications.com/index.php/ejiar/article/view/40;;Applied Sciences;Methodology;Research;N;
Quantum Computing's Double-Edged Sword Unravelling the Vulnerabilities in Quantum Key Distribution for Enhanced Network Security;2023;I Anantraj;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10420896/;;Applied Sciences;Methodology;Research;N;
Bacterial Infections Associated with COVID-19 Infection in Thi-Qar Province, Iraq;2023;TF Hassen;0;medclinrese.org;https://www.medclinrese.org/peer-review/bacterial-infections-associated-with-covid19-infection-in-thiqar-province-iraq-513.html;;Natural Sciences;Discussion;Research;N;
Simulation and Analysis of Solar and Wind Hybrid System for Off-Grid Application Using Dig-Silent Power Factory;2023;H Dahiya;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10351867/;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Quantum machine learning: A theoretical overview of quantum computing applications;2019;Y Bhomia;0;thepharmajournal.com;https://www.thepharmajournal.com/archives/2019/vol8issue4S/PartA/S-12-12-422-845.pdf;;Applied Sciences;Discussion;Research;N;
STRENGTHENING CYBERCRIME CONTROLAND INVESTIGATION PROTOCOLS FORSAFE GUARDING INDIAN CITIZENS.;2023;DG KIRITBHAI;0;journal.ijpub.org;https://journal.ijpub.org/index.php/ijrar/article/view/17;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Advancing Biomedical Research: A Comprehensive Study of Global Impacts and Collaborations;2021;PT Williams;0;ijope.com;https://ijope.com/index.php/home/article/download/92/91;;Applied Sciences;Methodology;Research;N;
Entrepreneurship and innovation ecosystems: fostering sustainable development in Pakistan;2023;S Ali;0;pakistanresearchletter.com;http://pakistanresearchletter.com/index.php/Journal/article/view/18;;Social Sciences;Discussion;Research;N;
Good Governance Practices in Indian Municipalities Leveraging Technology for Efficient Service Delivery;2014;KR Narayanan;0;internationaljournals.org;https://internationaljournals.org/index.php/ijtd/article/view/9;;Social Sciences;Methodology;Research;N;
Embedding Social Media in Education: Cultivating Engagement and Collaboration in the Digital Learning Environment;2024;A Kumari;0;igi-global.com;https://www.igi-global.com/chapter/embedding-social-media-in-education/342473;;Applied Sciences;NA;Book;Y;
Solitary Confinement in Bangladeshi Prison a Comparative Study;2023;MA Husna;0;103.133.167.11;http://103.133.167.11:8080/handle/123456789/4261;;Social Sciences;Discussion;Book;N;Appears 2 times
